CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,CALCASIEU PARISH,LAKE CHARLES
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,EAST BATON ROUGE PARISH,BATON ROUGE
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,IBERVILLE PARISH,IBERVILLE
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,IBERVILLE PARISH,PLAQUEMINE
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,LAFAYETTE PARISH,LAFAYETTE
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,ORLEANS PARISH,NEW ORLEANS
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,OUACHITA PARISH,MONROE
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,RAPIDES PARISH,ALEXANDRIA
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,RAPIDES PARISH,RAPIDES
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,SAINT TAMMANY PARISH,ST. TAMMANY
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,TANGIPAHOA PARISH,TANGIPAHOA
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BERKSHIRE COUNTY,ADAMS
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BERKSHIRE COUNTY,NORTH ADAMS
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BERKSHIRE COUNTY,PITTSFIELD
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BRISTOL COUNTY,ATTLEBORO
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BRISTOL COUNTY,FALL RIVER
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BRISTOL COUNTY,NEW BEDFORD
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BRISTOL COUNTY,NORTH ATTLEBORO
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BRISTOL COUNTY,NORTON
US,UNITED STATES OF AMERICA,US-MA,MASSACHUSETTS,BRISTOL COUNTY,TAUNTON
